x,y,z,c
150,57,0,#000000
150,83,16,#000000
163,144,8,#000000
80,162,41,#000000
157,45,9,#000000
161,42,4,#000000
178,70,28,#000000
171,64,29,#000000
154,145,4,#000000
43,159,26,#000000
36,160,19,#000000
165,4,24,#000000
134,47,9,#000000
172,77,5,#000000
44,163,22,#000000
93,36,11,#000000
161,39,3,#000000
114,1,41,#000000
105,40,55,#000000
110,47,52,#000000
96,32,43,#000000
138,51,51,#000000
157,43,3,#000000
173,143,42,#000000
94,29,40,#000000
95,21,42,#000000
139,37,9,#000000
134,45,8,#000000
137,46,12,#000000
134,30,31,#000000
97,10,18,#000000
155,2,23,#000000
145,39,8,#000000
134,41,5,#000000
155,45,4,#000000
156,144,1,#000000
160,137,48,#000000
90,22,38,#000000
164,5,23,#000000
129,33,25,#000000
137,47,11,#000000
157,41,10,#000000
176,33,55,#000000
142,49,52,#000000
156,145,9,#000000
38,160,27,#000000
40,166,50,#000000
78,159,34,#000000
94,1,16,#000000
96,29,42,#000000
137,38,9,#000000
157,131,45,#000000
177,137,42,#000000
138,30,24,#000000
133,44,9,#000000
40,158,21,#000000
41,167,23,#000000
92,27,40,#000000
160,0,24,#000000
176,18,6,#000000
111,39,59,#000000
146,55,54,#000000
139,54,52,#000000
166,130,46,#000000
84,158,35,#000000
108,2,33,#000000
113,39,59,#000000
138,40,3,#000000
137,42,2,#000000
137,41,14,#000000
158,131,51,#000000
157,131,46,#000000
143,50,52,#000000
140,56,52,#000000
171,65,6,#000000
176,68,26,#000000
170,74,7,#000000
164,144,7,#000000
114,5,33,#000000
91,25,40,#000000
107,2,37,#000000
136,38,9,#000000
141,44,10,#000000
175,71,28,#000000
95,19,42,#000000
99,22,40,#000000
174,22,5,#000000
137,42,4,#000000
158,39,11,#000000
155,44,4,#000000
155,46,7,#000000
160,142,11,#000000
45,173,46,#000000
40,165,50,#000000
97,25,48,#000000
99,22,45,#000000
92,22,47,#000000
135,30,31,#000000
167,139,16,#000000
174,138,36,#000000
39,167,21,#000000
41,167,50,#000000
43,168,51,#000000
96,24,46,#000000
173,25,4,#000000
93,38,6,#000000
157,138,14,#000000
157,140,14,#000000
97,32,44,#000000
130,43,4,#000000
145,56,50,#000000
143,49,52,#000000
147,32,56,#000000
152,34,58,#000000
33,178,7,#000000
171,23,7,#000000
137,33,27,#000000
160,144,10,#000000
176,138,38,#000000
103,2,18,#000000
98,28,46,#000000
159,10,23,#000000
147,37,5,#000000
164,135,47,#000000
160,134,50,#000000
173,139,44,#000000
40,159,27,#000000
49,168,50,#000000
97,34,43,#000000
174,71,3,#000000
151,85,18,#000000
165,131,45,#000000
151,37,56,#000000
163,140,18,#000000
79,156,43,#000000
97,25,39,#000000
100,28,45,#000000
111,8,34,#000000
136,32,29,#000000
143,48,51,#000000
164,141,18,#000000
93,27,45,#000000
95,30,41,#000000
165,131,46,#000000
173,141,37,#000000
171,141,37,#000000
45,173,47,#000000
45,166,53,#000000
141,44,11,#000000
172,67,28,#000000
168,70,9,#000000
161,145,16,#000000
156,129,46,#000000
139,51,49,#000000
170,74,5,#000000
36,163,22,#000000
78,162,37,#000000
135,36,24,#000000
138,41,14,#000000
143,59,4,#000000
142,59,53,#000000
158,132,49,#000000
43,165,22,#000000
164,4,23,#000000
131,43,3,#000000
137,34,26,#000000
171,76,5,#000000
162,148,14,#000000
163,145,8,#000000
174,142,39,#000000
78,163,39,#000000
76,160,38,#000000
97,23,38,#000000
177,31,54,#000000
171,76,6,#000000
175,72,4,#000000
157,147,9,#000000
165,129,44,#000000
36,159,19,#000000
102,25,45,#000000
135,47,10,#000000
142,58,50,#000000
139,55,52,#000000
154,42,4,#000000
31,176,2,#000000
44,160,25,#000000
160,2,30,#000000
178,70,29,#000000
174,65,25,#000000
152,86,20,#000000
172,142,42,#000000
47,168,45,#000000
75,156,37,#000000
77,158,35,#000000
93,22,47,#000000
93,39,8,#000000
112,42,58,#000000
102,25,42,#000000
113,6,33,#000000
156,144,10,#000000
159,148,2,#000000
166,140,14,#000000
42,162,26,#000000
31,177,4,#000000
176,18,2,#000000
138,47,7,#000000
161,135,44,#000000
96,32,44,#000000
132,42,9,#000000
141,57,53,#000000
163,146,15,#000000
160,147,9,#000000
96,8,18,#000000
131,36,24,#000000
136,48,7,#000000
156,48,7,#000000
100,28,43,#000000
156,4,27,#000000
134,37,3,#000000
133,43,12,#000000
171,70,10,#000000
160,132,43,#000000
142,49,4,#000000
130,36,26,#000000
134,45,7,#000000
147,54,51,#000000
91,43,9,#000000
106,42,53,#000000
145,58,51,#000000
177,35,55,#000000
178,64,25,#000000
149,41,57,#000000
159,39,11,#000000
44,166,53,#000000
99,1,14,#000000
95,29,45,#000000
102,24,43,#000000
160,4,29,#000000
139,42,5,#000000
175,37,59,#000000
172,66,27,#000000
114,7,37,#000000
162,6,21,#000000
147,43,56,#000000
163,136,47,#000000
175,141,39,#000000
162,39,3,#000000
36,162,24,#000000
109,1,31,#000000
93,27,43,#000000
106,42,55,#000000
134,44,6,#000000
135,32,22,#000000
41,159,17,#000000
42,168,45,#000000
94,27,39,#000000
138,41,1,#000000
162,40,6,#000000
174,73,4,#000000
149,40,56,#000000
44,162,22,#000000
46,165,43,#000000
76,159,38,#000000
116,4,36,#000000
139,37,0,#000000
143,37,55,#000000
170,142,39,#000000
160,128,47,#000000
42,167,51,#000000
80,157,43,#000000
93,29,44,#000000
144,44,5,#000000
133,39,25,#000000
145,54,48,#000000
36,172,3,#000000
81,158,42,#000000
136,49,8,#000000
143,55,49,#000000
152,34,56,#000000
156,130,45,#000000
83,160,36,#000000
90,24,41,#000000
102,24,45,#000000
170,23,6,#000000
133,44,11,#000000
82,156,43,#000000
142,41,1,#000000
144,37,9,#000000
145,58,53,#000000
161,131,52,#000000
33,179,2,#000000
177,17,4,#000000
169,19,7,#000000
134,46,10,#000000
142,45,6,#000000
147,37,2,#000000
163,137,14,#000000
101,24,39,#000000
162,10,24,#000000
91,42,8,#000000
137,45,13,#000000
141,55,55,#000000
147,54,50,#000000
98,1,25,#000000
139,53,49,#000000
40,178,4,#000000
156,4,22,#000000
163,3,28,#000000
158,47,5,#000000
151,37,58,#000000
159,148,8,#000000
158,141,12,#000000
42,165,52,#000000
78,164,38,#000000
99,4,15,#000000
91,27,43,#000000
168,18,6,#000000
141,42,12,#000000
157,2,19,#000000
142,42,1,#000000
143,36,58,#000000
160,144,16,#000000
160,132,51,#000000
32,175,0,#000000
170,20,8,#000000
142,39,9,#000000
131,37,26,#000000
146,41,55,#000000
151,34,53,#000000
173,21,8,#000000
160,3,29,#000000
137,48,7,#000000
135,48,9,#000000
171,65,29,#000000
132,41,11,#000000
137,32,25,#000000
153,41,7,#000000
159,130,42,#000000
170,138,36,#000000
41,164,25,#000000
80,162,36,#000000
80,159,34,#000000
140,43,13,#000000
145,41,56,#000000
173,34,58,#000000
150,89,23,#000000
179,68,32,#000000
32,177,5,#000000
100,4,22,#000000
111,41,58,#000000
145,58,5,#000000
136,32,23,#000000
148,38,54,#000000
31,175,5,#000000
34,178,1,#000000
102,3,18,#000000
99,29,45,#000000
154,42,8,#000000
164,142,11,#000000
168,17,2,#000000
133,41,12,#000000
173,33,56,#000000
177,71,28,#000000
160,138,19,#000000
101,24,46,#000000
136,47,7,#000000
174,37,59,#000000
163,130,52,#000000
171,145,40,#000000
49,167,50,#000000
94,3,19,#000000
162,8,26,#000000
142,35,3,#000000
153,83,18,#000000
162,148,5,#000000
97,9,18,#000000
96,28,40,#000000
117,1,37,#000000
177,69,33,#000000
160,133,50,#000000
48,168,45,#000000
94,28,39,#000000
158,8,24,#000000
177,16,3,#000000
135,48,5,#000000
143,53,56,#000000
94,1,23,#000000
175,62,30,#000000
159,139,10,#000000
142,59,3,#000000
170,23,4,#000000
160,4,28,#000000
170,16,0,#000000
92,38,5,#000000
176,136,43,#000000
41,175,6,#000000
95,20,42,#000000
132,38,27,#000000
137,41,8,#000000
140,44,6,#000000
168,137,37,#000000
35,159,24,#000000
133,41,8,#000000
129,39,5,#000000
41,168,22,#000000
80,158,43,#000000
103,1,21,#000000
99,23,42,#000000
139,38,8,#000000
174,142,41,#000000
115,40,54,#000000
164,138,9,#000000
158,132,44,#000000
80,160,42,#000000
79,160,35,#000000
75,157,36,#000000
146,57,5,#000000
145,57,6,#000000
158,132,50,#000000
145,52,47,#000000
162,135,13,#000000
40,165,25,#000000
98,6,22,#000000
102,24,44,#000000
108,4,36,#000000
161,0,24,#000000
90,43,10,#000000
161,142,17,#000000
153,86,21,#000000
173,66,26,#000000
40,166,24,#000000
103,1,16,#000000
92,28,43,#000000
113,44,55,#000000
142,40,0,#000000
171,65,28,#000000
166,142,14,#000000
158,6,27,#000000
157,5,22,#000000
110,38,53,#000000
145,54,55,#000000
150,58,0,#000000
158,141,5,#000000
176,136,37,#000000
32,175,8,#000000
45,165,53,#000000
171,22,7,#000000
96,30,42,#000000
143,35,4,#000000
157,47,8,#000000
128,30,26,#000000
137,38,3,#000000
176,70,8,#000000
176,71,8,#000000
163,147,14,#000000
144,43,3,#000000
135,42,0,#000000
156,46,4,#000000
165,129,50,#000000
165,129,43,#000000
160,4,20,#000000
108,42,50,#000000
159,42,2,#000000
152,87,22,#000000
159,143,4,#000000
162,145,12,#000000
139,47,10,#000000
160,43,7,#000000
168,139,39,#000000
164,145,5,#000000
41,167,51,#000000
115,1,31,#000000
93,38,11,#000000
144,41,7,#000000
152,35,55,#000000
177,64,25,#000000
159,143,13,#000000
157,2,28,#000000
133,42,12,#000000
154,39,1,#000000
174,74,8,#000000
177,68,9,#000000
162,146,2,#000000
145,57,5,#000000
153,41,5,#000000
49,167,49,#000000
46,162,48,#000000
44,165,53,#000000
99,10,18,#000000
96,27,44,#000000
94,21,42,#000000
161,133,51,#000000
175,16,10,#000000
133,32,30,#000000
154,145,6,#000000
174,32,55,#000000
40,165,45,#000000
96,1,14,#000000
96,3,23,#000000
96,26,45,#000000
134,42,5,#000000
158,37,6,#000000
101,27,44,#000000
168,20,5,#000000
163,148,5,#000000
170,142,41,#000000
99,22,41,#000000
164,2,27,#000000
90,44,9,#000000
137,51,52,#000000
172,66,32,#000000
160,145,14,#000000
134,43,6,#000000
137,37,7,#000000
75,156,39,#000000
96,6,17,#000000
172,24,4,#000000
92,39,6,#000000
110,40,49,#000000
139,44,13,#000000
158,42,2,#000000
150,91,20,#000000
94,20,41,#000000
116,4,37,#000000
94,36,9,#000000
144,57,50,#000000
172,79,6,#000000
170,140,37,#000000
36,159,26,#000000
95,2,23,#000000
145,55,55,#000000
156,42,2,#000000
175,33,55,#000000
157,131,49,#000000
97,29,46,#000000
109,38,54,#000000
142,39,0,#000000
144,39,58,#000000
173,70,2,#000000
173,143,38,#000000
130,33,23,#000000
177,69,7,#000000
159,142,4,#000000
39,168,21,#000000
139,54,54,#000000
176,71,7,#000000
40,176,1,#000000
97,22,47,#000000
98,24,40,#000000
176,19,6,#000000
142,46,5,#000000
140,57,3,#000000
177,34,55,#000000
151,88,20,#000000
48,167,51,#000000
41,168,46,#000000
97,7,17,#000000
172,24,3,#000000
130,30,22,#000000
143,51,47,#000000
160,144,14,#000000
133,32,22,#000000
143,35,54,#000000
38,178,1,#000000
41,167,47,#000000
101,4,17,#000000
96,4,15,#000000
107,39,59,#000000
133,42,0,#000000
103,2,20,#000000
112,2,41,#000000
92,29,41,#000000
93,31,43,#000000
142,41,9,#000000
161,41,9,#000000
77,156,33,#000000
100,28,41,#000000
176,29,59,#000000
111,43,51,#000000
148,42,58,#000000
165,141,12,#000000
40,162,26,#000000
144,38,58,#000000
44,161,19,#000000
37,177,0,#000000
136,33,23,#000000
128,31,24,#000000
152,39,3,#000000
102,1,23,#000000
116,1,40,#000000
164,132,49,#000000
161,139,47,#000000
168,138,42,#000000
112,1,42,#000000
101,28,43,#000000
94,19,41,#000000
136,43,7,#000000
149,40,58,#000000
165,131,49,#000000
173,137,45,#000000
171,141,43,#000000
39,163,19,#000000
99,24,38,#000000
175,19,7,#000000
137,45,6,#000000
178,72,30,#000000
173,141,43,#000000
171,140,37,#000000
176,137,37,#000000
165,132,45,#000000
167,136,43,#000000
47,167,52,#000000
43,169,51,#000000
95,5,18,#000000
115,39,57,#000000
137,37,4,#000000
148,40,55,#000000
95,1,14,#000000
160,8,22,#000000
132,39,26,#000000
160,42,4,#000000
99,27,39,#000000
128,30,27,#000000
163,135,49,#000000
155,146,4,#000000
155,147,7,#000000
107,1,38,#000000
90,23,45,#000000
109,42,58,#000000
133,35,23,#000000
139,44,5,#000000
134,42,13,#000000
93,31,42,#000000
175,68,27,#000000
176,71,32,#000000
161,138,19,#000000
162,138,9,#000000
81,158,34,#000000
139,41,5,#000000
174,72,30,#000000
164,143,16,#000000
158,149,8,#000000
162,142,17,#000000
83,159,40,#000000
132,47,4,#000000
139,51,56,#000000
145,38,54,#000000
174,64,35,#000000
158,134,47,#000000
76,159,37,#000000
81,160,35,#000000
98,5,23,#000000
116,3,36,#000000
144,38,56,#000000
167,136,37,#000000
130,39,8,#000000
133,31,21,#000000
138,39,3,#000000
143,54,56,#000000
165,139,10,#000000
116,3,37,#000000
156,45,4,#000000
173,77,6,#000000
176,71,6,#000000
41,167,22,#000000
42,170,47,#000000
96,27,40,#000000
139,42,3,#000000
154,84,21,#000000
76,156,34,#000000
100,4,23,#000000
160,43,4,#000000
153,40,9,#000000
175,67,26,#000000
39,178,1,#000000
150,37,54,#000000
175,72,8,#000000
163,139,9,#000000
178,34,55,#000000
166,140,12,#000000
33,177,8,#000000
97,29,40,#000000
163,2,29,#000000
108,41,50,#000000
108,42,57,#000000
131,42,2,#000000
140,56,53,#000000
177,35,56,#000000
37,161,26,#000000
94,21,41,#000000
94,25,39,#000000
132,29,26,#000000
142,37,10,#000000
133,30,32,#000000
154,145,7,#000000
36,173,3,#000000
81,155,38,#000000
161,2,29,#000000
177,39,57,#000000
175,72,6,#000000
41,176,5,#000000
136,37,4,#000000
162,147,7,#000000
40,168,21,#000000
37,176,9,#000000
45,165,54,#000000
91,27,42,#000000
141,43,10,#000000
152,36,57,#000000
156,4,23,#000000
156,144,0,#000000
179,35,56,#000000
165,143,13,#000000
39,161,18,#000000
43,163,23,#000000
108,1,39,#000000
108,4,37,#000000
110,41,50,#000000
179,34,56,#000000
164,132,44,#000000
164,132,50,#000000
164,131,43,#000000
144,59,4,#000000
163,39,6,#000000
160,146,9,#000000
161,132,43,#000000
145,40,59,#000000
173,35,59,#000000
173,64,26,#000000
157,147,1,#000000
172,14,4,#000000
110,39,48,#000000
97,30,45,#000000
105,40,52,#000000
38,164,24,#000000
33,179,3,#000000
157,5,26,#000000
142,34,57,#000000
166,141,15,#000000
42,169,49,#000000
84,159,40,#000000
162,5,21,#000000
131,37,25,#000000
159,148,9,#000000
176,138,42,#000000
164,4,27,#000000
106,41,52,#000000
105,40,56,#000000
136,35,26,#000000
152,35,56,#000000
151,89,22,#000000
176,136,44,#000000
99,10,20,#000000
147,38,3,#000000
135,35,24,#000000
174,36,58,#000000
151,36,57,#000000
160,147,1,#000000
48,169,49,#000000
77,160,37,#000000
109,45,56,#000000
153,85,20,#000000
173,68,1,#000000
160,144,15,#000000
75,158,38,#000000
93,27,42,#000000
161,4,28,#000000
148,59,4,#000000
135,45,12,#000000
162,40,4,#000000
163,144,9,#000000
172,145,41,#000000
94,4,20,#000000
174,19,8,#000000
132,42,7,#000000
135,32,30,#000000
158,140,17,#000000
170,136,45,#000000
171,77,7,#000000
174,74,4,#000000
40,157,21,#000000
174,18,1,#000000
155,2,21,#000000
132,39,25,#000000
133,34,22,#000000
175,72,7,#000000
162,145,1,#000000
162,137,47,#000000
90,45,7,#000000
173,67,28,#000000
171,73,3,#000000
48,165,53,#000000
112,13,36,#000000
114,2,41,#000000
177,17,6,#000000
136,46,4,#000000
139,39,3,#000000
94,36,10,#000000
133,37,28,#000000
170,71,2,#000000
160,136,49,#000000
164,146,5,#000000
40,163,18,#000000
113,5,39,#000000
129,30,29,#000000
129,32,23,#000000
142,55,55,#000000
172,68,1,#000000
159,45,6,#000000
177,73,31,#000000
42,167,22,#000000
103,2,21,#000000
113,1,41,#000000
97,22,46,#000000
108,46,53,#000000
136,42,7,#000000
158,149,2,#000000
92,28,41,#000000
175,70,28,#000000
170,73,4,#000000
172,65,6,#000000
161,149,7,#000000
161,132,51,#000000
117,2,38,#000000
146,39,5,#000000
135,42,14,#000000
170,72,3,#000000
176,68,33,#000000
42,169,47,#000000
94,25,38,#000000
160,42,8,#000000
131,41,8,#000000
130,34,28,#000000
85,157,36,#000000
161,4,20,#000000
172,16,10,#000000
94,36,5,#000000
97,36,43,#000000
146,58,5,#000000
145,40,6,#000000
146,54,50,#000000
152,84,18,#000000
162,149,6,#000000
166,129,47,#000000
143,40,0,#000000
140,51,48,#000000
77,157,34,#000000
112,7,38,#000000
93,25,46,#000000
172,18,1,#000000
164,4,22,#000000
90,36,13,#000000
102,24,46,#000000
100,24,48,#000000
108,40,59,#000000
132,42,10,#000000
161,146,15,#000000
163,136,48,#000000
48,169,47,#000000
141,41,1,#000000
159,45,8,#000000
173,77,5,#000000
167,140,14,#000000
169,136,36,#000000
173,68,32,#000000
177,67,34,#000000
94,26,38,#000000
94,29,44,#000000
138,37,7,#000000
132,31,31,#000000
148,42,56,#000000
169,74,6,#000000
151,90,21,#000000
97,32,41,#000000
137,41,3,#000000
177,69,8,#000000
161,126,47,#000000
40,158,22,#000000
98,22,39,#000000
140,43,5,#000000
130,41,3,#000000
147,33,56,#000000
166,136,40,#000000
33,179,5,#000000
37,161,25,#000000
43,173,48,#000000
106,39,58,#000000
130,34,27,#000000
156,43,9,#000000
98,9,17,#000000
112,7,39,#000000
175,20,4,#000000
175,20,7,#000000
139,40,6,#000000
160,39,10,#000000
163,147,5,#000000
170,136,35,#000000
38,161,26,#000000
156,5,23,#000000
93,36,5,#000000
138,31,24,#000000
139,39,4,#000000
162,144,11,#000000
168,18,3,#000000
132,34,29,#000000
130,35,26,#000000
167,138,12,#000000
166,140,17,#000000
46,164,48,#000000
82,160,41,#000000
99,7,21,#000000
98,24,42,#000000
157,3,28,#000000
96,30,45,#000000
171,144,39,#000000
165,131,47,#000000
157,2,20,#000000
142,54,56,#000000
179,69,29,#000000
172,64,26,#000000
150,84,25,#000000
169,141,41,#000000
94,24,39,#000000
141,59,0,#000000
134,33,22,#000000
142,39,8,#000000
175,71,32,#000000
165,143,15,#000000
101,1,14,#000000
109,37,54,#000000
134,41,14,#000000
165,138,19,#000000
158,143,5,#000000
39,175,0,#000000
47,169,51,#000000
169,16,9,#000000
90,44,7,#000000
175,141,40,#000000
103,1,22,#000000
112,40,59,#000000
160,148,8,#000000
157,131,47,#000000
159,129,52,#000000
151,84,17,#000000
152,83,25,#000000
36,159,18,#000000
32,176,7,#000000
39,176,0,#000000
102,25,43,#000000
149,59,2,#000000
147,37,6,#000000
173,70,30,#000000
114,4,40,#000000
98,27,47,#000000
169,21,6,#000000
161,8,22,#000000
162,39,6,#000000
153,41,8,#000000
150,36,53,#000000
37,163,23,#000000
99,3,23,#000000
172,77,7,#000000
177,66,34,#000000
34,176,9,#000000
159,11,24,#000000
115,39,51,#000000
155,42,3,#000000
157,139,14,#000000
36,162,23,#000000
91,22,38,#000000
93,38,7,#000000
110,39,59,#000000
175,70,10,#000000
45,159,23,#000000
100,2,14,#000000
112,10,35,#000000
173,18,9,#000000
138,43,4,#000000
140,54,50,#000000
144,43,5,#000000
138,30,26,#000000
33,177,1,#000000
98,9,18,#000000
110,7,38,#000000
100,27,40,#000000
112,39,49,#000000
115,39,54,#000000
130,39,0,#000000
133,42,8,#000000
160,145,13,#000000
40,165,20,#000000
34,177,8,#000000
83,158,41,#000000
148,51,53,#000000
157,138,15,#000000
171,142,42,#000000
77,160,38,#000000
97,2,24,#000000
160,44,5,#000000
172,74,8,#000000
160,146,14,#000000
174,137,35,#000000
99,26,39,#000000
91,41,10,#000000
137,40,8,#000000
136,50,9,#000000
92,39,10,#000000
147,38,6,#000000
143,45,5,#000000
160,148,2,#000000
171,133,40,#000000
157,47,5,#000000
161,39,2,#000000
117,1,33,#000000
175,21,5,#000000
90,38,4,#000000
146,38,1,#000000
147,55,52,#000000
155,43,9,#000000
157,132,46,#000000
140,58,2,#000000
161,145,10,#000000
36,161,23,#000000
111,2,31,#000000
110,5,33,#000000
175,21,4,#000000
108,39,59,#000000
113,43,53,#000000
170,17,0,#000000
137,49,7,#000000
156,148,6,#000000
164,144,16,#000000
43,170,50,#000000
83,157,34,#000000
158,39,1,#000000
150,38,59,#000000
169,71,4,#000000
170,138,44,#000000
130,41,5,#000000
143,38,9,#000000
157,41,11,#000000
150,88,19,#000000
111,1,31,#000000
135,41,8,#000000
175,34,55,#000000
150,85,17,#000000
48,167,45,#000000
99,6,22,#000000
100,7,17,#000000
138,40,4,#000000
155,144,9,#000000
167,136,38,#000000
100,4,16,#000000
154,43,4,#000000
165,143,14,#000000
160,41,3,#000000
163,146,8,#000000
37,162,20,#000000
32,178,2,#000000
133,41,5,#000000
138,37,0,#000000
143,37,57,#000000
146,55,52,#000000
161,137,48,#000000
94,1,15,#000000
93,39,9,#000000
90,40,5,#000000
141,37,9,#000000
162,41,6,#000000
176,138,40,#000000
43,171,47,#000000
133,36,28,#000000
142,57,5,#000000
172,67,6,#000000
150,35,53,#000000
174,68,1,#000000
168,70,4,#000000
158,148,2,#000000
40,165,24,#000000
50,165,47,#000000
97,10,19,#000000
90,39,4,#000000
131,36,27,#000000
154,82,24,#000000
157,145,0,#000000
41,167,48,#000000
166,2,24,#000000
111,38,54,#000000
98,30,41,#000000
153,84,19,#000000
152,84,24,#000000
39,164,19,#000000
108,3,36,#000000
174,17,0,#000000
168,19,7,#000000
129,40,2,#000000
133,40,26,#000000
167,138,14,#000000
162,148,3,#000000
47,166,53,#000000
106,41,56,#000000
141,45,9,#000000
143,57,49,#000000
135,33,30,#000000
173,34,57,#000000
160,131,51,#000000
163,4,27,#000000
152,39,4,#000000
163,146,6,#000000
164,144,2,#000000
174,69,11,#000000
50,165,49,#000000
79,163,40,#000000
112,1,31,#000000
94,29,42,#000000
97,31,45,#000000
137,32,23,#000000
177,136,39,#000000
41,168,23,#000000
96,29,46,#000000
176,18,5,#000000
110,44,57,#000000
133,48,4,#000000
131,43,5,#000000
140,44,4,#000000
161,40,9,#000000
159,148,1,#000000
92,37,12,#000000
134,45,11,#000000
41,161,18,#000000
32,177,4,#000000
39,175,8,#000000
114,4,39,#000000
100,24,47,#000000
176,18,8,#000000
41,163,25,#000000
130,39,7,#000000
135,36,27,#000000
159,144,11,#000000
93,21,42,#000000
144,38,9,#000000
135,37,27,#000000
97,31,41,#000000
110,37,54,#000000
159,145,0,#000000
46,174,48,#000000
108,3,37,#000000
110,7,35,#000000
171,21,8,#000000
149,37,54,#000000
163,135,45,#000000
99,22,39,#000000
94,26,40,#000000
156,48,6,#000000
174,74,6,#000000
174,139,44,#000000
78,160,35,#000000
112,3,40,#000000
164,4,24,#000000
144,54,0,#000000
173,32,56,#000000
152,87,21,#000000
35,159,21,#000000
80,160,41,#000000
176,28,59,#000000
143,46,5,#000000
179,36,57,#000000
151,83,26,#000000
172,66,30,#000000
154,144,2,#000000
41,176,2,#000000
82,162,39,#000000
99,27,40,#000000
91,40,11,#000000
140,40,8,#000000
178,69,28,#000000
116,1,32,#000000
156,2,27,#000000
159,8,22,#000000
133,37,4,#000000
142,48,52,#000000
156,39,1,#000000
139,41,3,#000000
131,35,28,#000000
158,140,12,#000000
159,133,50,#000000
101,25,40,#000000
163,5,26,#000000
158,43,9,#000000
177,30,59,#000000
172,144,41,#000000
31,175,6,#000000
82,163,39,#000000
96,2,24,#000000
111,48,54,#000000
141,41,6,#000000
161,7,21,#000000
134,38,27,#000000
150,39,58,#000000
156,48,5,#000000
152,35,59,#000000
92,25,41,#000000
113,7,34,#000000
160,10,26,#000000
170,19,9,#000000
146,40,4,#000000
160,44,7,#000000
161,129,52,#000000
32,175,1,#000000
84,156,35,#000000
99,23,40,#000000
135,47,4,#000000
152,84,17,#000000
171,72,3,#000000
144,36,54,#000000
150,34,53,#000000
45,171,45,#000000
96,29,40,#000000
94,24,46,#000000
97,24,37,#000000
96,27,39,#000000
138,39,4,#000000
172,146,40,#000000
81,165,39,#000000
113,9,35,#000000
114,7,34,#000000
137,44,4,#000000
130,39,1,#000000
156,44,9,#000000
168,138,40,#000000
170,143,40,#000000
158,7,22,#000000
114,43,54,#000000
168,72,6,#000000
179,64,26,#000000
170,69,1,#000000
174,144,40,#000000
41,175,5,#000000
131,44,3,#000000
130,41,7,#000000
160,141,17,#000000
161,11,23,#000000
147,46,57,#000000
138,51,49,#000000
147,42,55,#000000
158,148,8,#000000
176,70,7,#000000
162,134,50,#000000
103,1,18,#000000
91,22,37,#000000
95,24,46,#000000
133,36,4,#000000
137,43,4,#000000
148,41,55,#000000
50,166,46,#000000
94,27,46,#000000
164,5,22,#000000
137,41,7,#000000
146,38,7,#000000
176,70,6,#000000
165,3,23,#000000
137,33,26,#000000
140,55,53,#000000
170,140,43,#000000
176,64,35,#000000
163,146,3,#000000
111,10,37,#000000
93,38,9,#000000
106,41,54,#000000
140,42,6,#000000
150,82,26,#000000
175,72,29,#000000
159,135,46,#000000
90,35,8,#000000
107,42,57,#000000
176,69,3,#000000
160,140,10,#000000
160,130,42,#000000
144,38,57,#000000
174,35,59,#000000
41,167,21,#000000
45,168,44,#000000
173,25,6,#000000
135,48,10,#000000
144,38,55,#000000
147,51,55,#000000
140,45,4,#000000
135,42,4,#000000
160,146,1,#000000
157,132,49,#000000
77,156,42,#000000
94,4,21,#000000
110,45,57,#000000
108,46,55,#000000
162,130,42,#000000
108,46,54,#000000
142,45,2,#000000
172,66,6,#000000
172,74,4,#000000
156,130,47,#000000
168,139,40,#000000
36,161,20,#000000
95,29,41,#000000
174,19,2,#000000
165,2,21,#000000
137,33,28,#000000
159,143,14,#000000
134,43,12,#000000
134,41,9,#000000
39,167,23,#000000
43,166,43,#000000
47,167,44,#000000
75,156,40,#000000
176,18,7,#000000
129,32,25,#000000
135,31,31,#000000
175,64,35,#000000
94,28,40,#000000
117,1,34,#000000
137,38,6,#000000
151,88,23,#000000
178,70,30,#000000
44,173,48,#000000
45,169,45,#000000
109,48,54,#000000
143,45,4,#000000
132,44,6,#000000
179,38,59,#000000
154,144,5,#000000
34,159,22,#000000
80,155,37,#000000
111,37,54,#000000
147,53,52,#000000
153,82,18,#000000
159,141,4,#000000
129,31,29,#000000
149,38,54,#000000
156,4,24,#000000
99,30,41,#000000
113,42,51,#000000
138,39,6,#000000
144,56,0,#000000
141,35,4,#000000
142,51,57,#000000
154,41,10,#000000
155,82,21,#000000
179,67,33,#000000
159,132,43,#000000
91,43,7,#000000
110,49,54,#000000
146,40,6,#000000
130,40,1,#000000
176,70,5,#000000
164,144,14,#000000
162,137,13,#000000
171,140,43,#000000
42,167,45,#000000
80,154,38,#000000
80,156,44,#000000
100,24,38,#000000
114,41,57,#000000
176,36,56,#000000
172,22,8,#000000
109,40,49,#000000
135,33,29,#000000
140,41,14,#000000
146,55,51,#000000
173,144,40,#000000
36,178,8,#000000
103,2,19,#000000
172,27,5,#000000
152,39,6,#000000
172,73,9,#000000
154,40,2,#000000
150,85,25,#000000
178,71,30,#000000
163,132,44,#000000
163,132,50,#000000
115,39,52,#000000
157,45,3,#000000
172,72,2,#000000
161,131,51,#000000
109,4,33,#000000
111,8,38,#000000
112,47,54,#000000
149,40,57,#000000
158,47,6,#000000
155,40,11,#000000
176,62,29,#000000
165,131,48,#000000
85,156,38,#000000
97,6,22,#000000
111,9,37,#000000
94,37,9,#000000
138,45,12,#000000
127,30,26,#000000
93,24,40,#000000
137,31,23,#000000
156,149,4,#000000
